ID,ALMA MATER ,RESIDENCE,NOTABLE WORK ,AWARDS,NATIONALITY 
2,"Sherwood college, Nainital. Kirori Mal college, Delhi university ","Jalsa, juhu, mumbai","Anand, zanjeer, don, paa, piku, Sholay, black ","Padma Vibhushan (2015), Padma Bhushan (2001), Padma shri(1984)",Indian
3,University of Mumbai ,Mumbai ,Mohabbatein ,Padma shri (2009),Indian
4,"St. Maria goretti college, bareilly",New York,Fashion ,Padma shri (2016),Indian
5,Colonel brown Cambridge school ,Na,Na,"Filmfare award for best film, Padma Bhushan (1971), Dadasaheb Phalke award (1987)",Indian
6,"St. Annas high school, Secunderabad",Mumbai,Na,Filmfare award for best supporting actress ,Indian
7,"Hansraj college, delhi university",Mumbai ,Na,Padma shri (2015),Indian 
8,Guru Nanak Khalsa college,Mumbai ,Na,National Filmfare award for best actor ,Canadian 
9,Narsee monjee college ,Mumbai ,Na,"Padma shri (2003), Padma Bhushan (2010)",Indian
10,Sydenham college ,Mumbai ,"Kaho naa pyaar hai, agneepath ",Filmfare award for best actor,Indian 
11,Mithibai college ,mumbai,Na,National Filmfare award for best actor ,Indian 
12,"Scindia school, st. xaviers college Mumbai ",Mumbai ,"Maine pyaar kiya , dabanngg, sultan, ek tha tiger ","Best actor, best children’s film",Indian 
13,"School of visual arts, lee Strasberg theatre and film institute ",mumbai,Na,Filmfare award for best actor,Indian 
14,Indiana university ,Mumbai ,"Bajirao mastani, padmavat ",Filmfare award for best actor,Indian 
15,Na,Chennai ,Na,"Padma bhushan(2000), padma Vibhushan(2016)",Indian
16,Xaviers mumbai,mumbai,Na,Na,Indian 
17,Ramgarhia college ,Mumbai ,Na,Padma bhushan(2012),Indian 
18,Mithibai college ,Mumbai ,Na,Filmfare award for best actress ,Indian 
19,"The Lawrence school, Elphinstone college ",mumbai,Na,Filmfare award for best actor,Indian 
20,"Winchester school, lockers park school ",Mumbai ,Na,Padma shri (2010m),Indian 
21,Sir J.J. institute of art ,Mumbai ,Na,Padma shri (2013),Indian 
22,Boston university ,Mumbai ,Na,Filmfare award for best actor,Indian 
23,H.R. college of commerce ,Mumbai ,Na,Filmfare award for best actor,Indian 
24,Na,Mumbai,Na,Filmfare award for best actor,Indian 
25,Nottingham trent university ,Mumbai ,Na,Filmfare award for best actor,Indian 
26,Indira gandhi national open institute,Mumbai ,"Bajirao mastani, padmavat ",Filmfare award for best actress ,Indian 
27,Na,Mumbai ,Na,Filmfare award for best actor,Indian 
28,campion school Mumbai ,Mumbai ,Na,Filmfare award for best actor,Indian
29,University of Mumbai ,Mumbai ,Na,Filmfare award for best actor,Indian 
30,Jamnabai narsee school ,Mumbai ,Na,Filmfare award for best actress ,Indian 
31,Sophia college for women ,Mumbai ,Na,Filmfare award for best actress ,Indian 
32,Na,Mumbai ,Na,Flimfare award for best actress ,British 
33,Bangalore University ,Mumbai ,Na,Flimfare award for best actress ,Indian 
34,University of Mumbai ,Mumbai ,Na,Flimfare award for best actress ,Indian 
35,Na,Na,"julie, himmatwala, mawaali  ",Padma shri (2013),Indian 
36,University of Mumbai ,mumbai,Na,Padma shri (2008),Indian 
37,"Mithibai college , St. Joseph’s covent school ,panchgani ",Mumbai ,Na,Filmfare award for best actress ,Indian
38,University of Mumbai ,Mumbai ,Na,Filmfare award for best actress ,Indian 
39,Boston university ,Mumbai ,Na,Flimfare award for best actress ,Indian 
40,Harvard university ,Mumbai ,Na,Flimfare award for best actress ,Indian 
41,"Sacred heart convent church,chennai ",Mumbai ,Na,Padma shri(2010),Indian
42,University of Sydney ,Mumbai ,Na,Flimfare award for best actress ,Sri Lankan 
43,University of manchester ,Mumbai ,Na,Filmfare award for best actress ,Indian
44,University of Chennai ,Mumbai ,Na,Padma shri (2000),Indian 
45,SNDT women’s university ,Mumbai ,Na,Filmfare award for best actress ,Indian 
46,Jaypee institue of information technology ,Mumbai ,Na,Flimfare award for best actress ,Indian 
47,SNDT women’s university ,Mumbai ,Na,Filmfare award for best actress ,Indian
48,Na,Mumbai ,Na,Flimfare award for best actress ,Indian
49,Na,Mumbai ,Na,Na,Overseas citizen of India 
50,Punjab university,Mumbai ,Na,Flimfare award for best actress ,Indian 
51,"Jai hind college, holy cross convent High school ",Mumbai ,Na,Filmfare award for best actress ,Indian
52,Ramniranjan anandilal podar college of commerce ,Mumbai ,Na,Filmfare award for best actress ,Indian
53,"St. Ann’s high school, Secunderabad, St. Xavier’s college",Mumbai ,Na,Padma shri (2011),Indian
54,Northern Vermont university ,"Los ángeles, california ",Na, Best actor ,American 
55,John marshal high school ,"Los ángeles, california ",Na,"Golden globe award, best actor ",American 
56,"Overbrook high school , masterman school ","Los ángeles, california ",Na,Best actor,American 
57,Miramar high school ,"Los ángeles, california ",Na,Best actor,American 
58,University of Miami ,Florida ,Na,Wrestling champion ,American 
59,University of Missouri ,Oklahoma ,Na,Best actor,American 
60,Santa Monica high school ,California ,Na,Best actor,American 
61,Queen’s university belfast ,New York,Na,Best actor,American 
62,Los Angeles city college ,New York,Na,Best actor,American 
63,University of Sydney ,Australia ,Na,Best actor,Australian 
64,Kammerer middle school ,Louisville,Na,Na,American 
65,New York university ,California ,Na,Best actress ,American 
66,Heathmont college ,Melbourne ,Na,Best actor,Australian 
67,Fiorelle Joanna high school ,California ,Na,Na,American 
68,Harvard university ,"Los ángeles, california ",Na,Best actress ,American 
69,Xavier college preparatory,"Los ángeles, california ",Na,Best actress ,American 
70,Kingston elementary school ,"Los ángeles, california ",Na,Best actress ,American 
71,Lee Strasberg theatre and film institute ,New York,Na,Best actress ,Danish 
72,IDC herzliya ,Israel ,Na,Best actress ,Israeli 
73,Marymount Manhattan college ,"Los ángeles, california ",Na,Best actress ,American 
74,Somerset college ,"Los ángeles, california ",Na,Best actress ,American 
75,American school ,"Los ángeles, california ",Na,Best actress ,American 
76,New York university ,Canada ,Na,Best actress ,Canadian 
77,Brown university ,France ,Na,Best actress ,British 
78,University of los angeles ,"Los ángeles, california ",Na,Best actress ,American 
79,Burbank high school ,"Los ángeles, california ",Na,Best actress ,American 
80,Aspen community school ,Austin ,Na,Best actress ,American 
81,Danny jones middle school ,California ,Na,Favorite actress award ,American 
82,Ryerson university ,"Los ángeles, california ",The vampire dairies ,Best actress ,Canadian 
