ID,GAME,TEAM/REPRESENTS,RETIREMENT ,AWARDS,NICK NAMES /TITLE 
120,Cricket ,India ,1994,"Padma bhushan, padma shri, Arjuna award for cricket ",Na
121,Tennis ,India ,2016,"Padma Shri, Arjuna award for lawn tennis ",Na
122,Track and field ,India ,Na,"Padma Shri , asian games award ",Na
123,Badminton ,India ,Na,"Arjuna award , padma shri ",Na
124,Track and field ,India ,Na,"Padma Shri, Arjuna award ",Na
125,Cricket ,India ,2012,"Padma bhushan, padma shri, Arjuna award for cricket , man of the year ",Na
126,Cricket ,India ,2013,"Arjuna award, padma shri, Rajiv Gandhi khel Ratna, Maharashtra bhushan award, padma Vibhushan , Bharat Ratna ","God of cricket, master blaster "
127,Tennis ,India ,Na,"Arjuna award, padma shri, Rajiv Gandhi khel Ratna, Maharashtra bhushan award, Bharat Ratna ",Na
128,Cricket ,India ,2007,"Padma Shri, Arjuna award for cricket ","Dada, prince of culcatta , god of the off side "
129,Cricket,India ,Na,"Arjuna award, padma shri, leading cricketer in the world, barmy army, Rajiv Gandhi khel Ratna ",Chiku
130,Badminton ,India ,Na,Na,Na
131,Badminton ,India ,Na,"Rajiv gandhi khel ratna, padma shri, Arjuna award for badminton",Na
132,Boxing ,India ,Na,"Padma bhushan, padma shri, Arjuna award, international boxing association ",Magnificent Mary 
133,Cricket,India ,Na,"Rajiv gandhi khel ratna, padma shri,padma bhushan ","Mahi, captain cool , thala, MSD"
134,Chess champion ,India ,Na,"Rajiv gandhi khel ratna, padma shri, padma bhushan , padma vibhushan ",Grandmaster 
135,Cricket ,India ,Na,"Padma Shri , asian games award ",Na
136,Cricket,India ,Na,"Arjuna award , padma shri ",Yuvi
137,Cricket,India ,Na,"Arjuna award , padma shri , leading cricketer in the world ","Viru, nawab of Najafgarh , sultan of Multan "
138,Billiards and snooker ,India ,Na,"Rajiv gandhi khel ratna, padma bhushan ","The prince of India , the golden boy , the prince of Pune "
139,Athlete ,India ,Na,"Padma shri, Arjuna award for athlete ",Na
140,Cricket,India ,2012,"Arjuna award , padma shri ",Jumbo 
141,Boxing ,India ,Na,"Rajiv gandhi khel ratna, padma shri ",Na
142,Cricket,India ,Na,"Arjuna award , Dilip Sardesai award ","Hitman, Mr. talented, shaana "
143,Cricket,India ,Na,Na,Na
144,Archery ,India ,Na,Na,Na
145,Tennis ,Switzerland ,Na,Fans favourite  award ,Na
146,Football ,Portugal ,Na,"FA cup, premier league, FA community shield , FIFA world cup ","CR7, Ronnie , C. Ronaldo "
147,Football ,Barcelona & argentina ,Na,FIFA world player of the year ,"leo, la pulga, messidona, atomic flea "
148,Basketball ,Los Angeles ,Na,"NBA most valuable player, NBA scoring title ",Na
149,Golfer ,United States ,Na,"Player of the year, Byron Nelson award ",Tiger 
150,Tennis ,America ,Na,Women’s tennis association ,Na
151,Basketball ,Chicago bulls and Washington wizards ,Na,NBA champion ,Na
152,Football ,Barcelona ,Na,"FIFA puskas  award, samba gold","Joia , Juninho "
153,Sprinter ,Racers track club ,2017,Na,Lightning bolt 
154,Football ,Los Angeles ,2013,"Mens PFA young player of the year, premier league player of the month ","Becks, golden balls, DB7, Dave "
