ID,    NAME,OCCUPATION,YEARS OF ACTIVE,MOTHER,FATHER,SPOUSE,CHILDREN,NATIVE
2,Amitabh Bachchan ,Actor,1942- present (76 age),Teji Bachchan ,Harivansh rai Bachchan ,Jaya Bhaduri ,2,Allahabad 
3,Aishwarya rai ,Actress ,1973-present (45 age),Brindya rai ,Krishnaraj rai ,Abhishek Bachchan ,1,Mangalore 
4,Priyanka Chopra ,Actress,1982-present (36 age),Madhu Chopra ,Ashok Chopra ,Nick Jonas ,Na,Jamshedpur 
5,Raj kapoor,Actor,1924-1988 ,Ramsarni kapoor ,Prithviraj kapoor ,Krishna Malhotra ,5,Pakistan
6,Sushmita sen ,Actress,1975-present (43 age),Subhra sen,Shubeer sen,Na,2,Hyderabad 
7,Shah rukh khan,Actor,1965-present (53 age),Lateef Fatima khan,Taj mohammed khan,Gauri khan,3,New Delhi 
8,Akshay kumar ,Actor,1967-present (51 age),Aruna bhatia,Hari om bhatia,Twinkle Khanna ,2,Punjab 
9,Amir khan,Actor,1965-present (53 age),Zeenat Hussain ,Tahir Hussain ,Reena dutta ,3,Mumbai 
10,Hrithik Roshan ,Actor,1974-present (44 age),Pinky roshan ,Rakesh roshan ,Sussanne khan ,2,Mumbai 
11,Ajay Devgan ,Actor,1969-present (49n age),Veena Devgan ,Veeru Devgan ,Kajol Mukherjee ,2,New Delhi 
12,Salman khan ,Actor,1965-present (53 age),Sushila charak ,Salim khan ,Na,Na,Indore 
13,Ranbir kapoor ,Actor,1982-present (36 age),Neetu singh ,Rishi kapoor ,Na,Na,Mumbai 
14,Ranveer Singh ,Actor,1985-present (33 age),Anju bhavnani ,Jagjit singh bhavnani,Deepika padukone ,Na,Mumbai 
15,Rajinikanth ,Actor,1950-present(68 age ),Jijabai ,Ramoji Rao gaekwad ,Latha rajinikanth,2,Bangalore 
16,Anil kapoor,Actor,1956-present (61 age),Nirmal kapoor ,Surinder kapoor ,Sunita kapoor ,3,Bombay
17,Dharmendra,Actor / politician ,1935-present(83 age),Satwant Kaur ,Kewal Kishan singh deol,Hema malini ,6,Punjab 
18,Kareena kapoor ,Actress ,1980-present (38 age ),Babita kapoor ,Randhir kapoor,Saif ali khan ,1,Bombay 
19,Sanjay Dutt ,Actor,1959-present(59 age),Nargis dutt,Sunil dutt,Manyata dutt,3,bombay
20,Saif ali khan ,Actor,1970-present(48 age),Sharmila Tagore ,Mansoor ali khan Pataudi ,Kareena kapoor ,3,New Delhi 
21,Nana Patekar ,Actor,1951-present(67 age ),Nirmala Patekar ,Gajanan patekar ,Neelkanti Patekar ,1,Bombay
22,Abhishek Bachchan ,Actor,1976-present (42 age),Jaya Bachchan ,Amitabh Bachchan ,Aishwarya rai ,1,Mumbai 
23,Farhan akhtar,Actor,1974-present (44 age),Honey iraní ,Javed Akhtar ,Adhuna bhabani ,2,Mumbai 
24,Govinda ,Actor/ politician ,1963-present(54 age ),Nirmala devi ,Arun kumar ahuja ,Sunita ahuja ,2,Mumbai 
25,Varun Dhawan ,Actor,1987-present (31 age),Karuna dhawan ,David dhawan ,Na,Na,Mumbai 
26,Deepika Padukone ,Actress ,1986-present (32 age),Ujjala padukone ,Prakash padukone ,Ranveer Singh ,Na,Bangalore 
27,Jeetendra ,Actor,1942- present (76 age),Krishna kapoor ,Amarnath kapoor ,Shobha kapoor ,2,Punjab 
28,Rishi kapoor ,Actor,1952-present (66 age),Krishna kapoor ,Raj Kapoor ,Neetu singh ,2,Mumbai 
29,Abhay Deol ,Actor,1976-present (42 age),Usha deol ,Ajit deol ,Na,Na,Mumbai 
30,Alia Bhatt ,Actress ,1993- present (25 age),Soni Razdan ,Mahesh Bhatt ,Na,Na,Mumbai 
31,Karishma kapoor ,Actress ,1974-present (44 age),Babita kapoor ,Randhir kapoor,Sanjay kapur ,2,Mumbai 
32,Katrina Kaif ,Actress ,1983-present (35 age ),Suzanne Turquotte ,Mohammed kaif,Na,Na,Hong kong 
33,Anushka Sharma  ,Actress ,1988-present (30 age),Ashima Sharma ,Ajay kumar Sharma ,Virat Kohli ,Na,Uttar Pradesh 
34,Sonam kapoor ,Actress ,1985-present (33 age),Sunita kapoor ,Anil Kapoor ,Anand ahuja ,Na,Bombay 
35,Sridevi ,Actress ,1963-2018 ,Rajeshwari Yanger ,Ayyapan Yanger ,Boney Kapoor ,2,Madras (tamil nadu)
36,Madhuri dixit ,Actress ,1967-present (51 age),Snehlata dixit ,Shankar dixit ,Shriram Madhav nene ,2,Mumbai 
37,Kajol ,Actress ,1974-present (44 age),Tanuja Samarth ,Shomu Mukherji,Ajay Devgan ,2,Mumbai 
38,Vidya balan ,Actress ,1979-present (39 age ),Saraswathy Balan ,P.R. balan ,Siddharth roy kapoor ,Na,Mumbai 
39,Shraddha kapoor ,Actress ,1987-present (31 age),Shivangi Kolhapure ,Shakti kapoor,Na,Na,Mumbai 
40,Preity Zinta  ,Actress ,1975-present (43 age),Nilprabha Zinta ,Durganand Zinta ,Gene goodenough ,Na,Himachal Pradesh 
41,Rekha ,Actress ,1954-present (64 age),Pushpavalli ,Gemini Ganesan ,Mukesh Agarwal ,Na,Madras (tamil nadu)
42,Jacqueline Fernandez ,Actress ,1985-present (33 age),Kim Fernandez ,Elroy fernandez ,Na,Na,"Manama, Bahrain "
43,Parineeti chopra,Actress ,1988-present (30 age),Reena Chopra ,Pawan Chopra ,Na,Na,Haryana 
44,Hema malini ,Actress / politician ,1948-present(70 age),Jaya chakravarthy ,V.S. Ramanujan chakravarthy ,Dharmendra ,2,Madras (tamil nadu)
45,Rani Mukherji ,Actress ,1978-present(40 age),krishna mukherjee ,Ram Mukherjee ,Aditya Chopra ,1,Mumbai 
46,Kriti sanon ,Actress ,1990-present(28 age ),Geeta sanon ,Rahul sanon ,Na,Na,New Delhi 
47,Sonakshi sinha ,Actress ,1987-present (31 age),Poonam Sinha ,Shatrughan Sinha ,Na,Na,"Patna , bihar "
48,Neetu singh ,Actress ,1958-present(60 age),Rajnee singh ,Darshan singh ,Rishi kapoor ,2,Delhi 
49,Sunny leone ,Actress ,1981-present(37 age),Na,Na,Daniel weber ,3,Canada 
50,Yami Gautam ,Actress ,1988-present (30 age),Anjali Gautam ,Mukesh Gautam ,Na,Na,Himachal Pradesh 
51,Malaika Arora ,Actress ,1975-present (43 age),Joyce polycrap ,Anil Arora ,Arbaaz Khan ,1,Thane 
52,Shilpa shetty ,Actress ,1975-present (43 age),Sunanda Shetty ,Surendra Shetty ,Raj Kundra ,1,Mangalore 
53,Tabu ,Actress ,1971-present (47 age),Rizwana ,Jamal Hashmi ,Na,Na,Hyderabad 
54,Tom cruise ,Actor,1962-present (56 age),Mary lee Pfeiffer ,Thomas mopother ,Katie holmes ,3,New York 
55,Leonardo DiCaprio,Actor,1974-present (44 age),Na,George DiCaprio ,Na,Na,California 
56,Will smith ,Actor,1968-present (50 age ),Caroline bright,Willard carroll ,Jada pinkett,3,Pennyslvania 
57,Johnny Depp ,Actor,1963-present(54 age ),Betty sue palmer ,John Christoper Depp,Amber heard ,2,Kentucky 
58,Dwayne johnson ,Actor,1972-present(46 age),Ata johnson ,Rocky johnson ,Dany Garcia ,3,California 
59,Brad pitt ,Actor,1963-present(54 age ),Jane etta pitt ,William alvin pitt ,Angelina jolie ,6,Oklahoma 
60,Robert downey jr.,Actor,1965-present (53 age),Elsie ford,Robert Downey Sr. ,Susan Levin,3,New York 
61,Liam Neeson ,Actor,1952-present (66 age),Katherine brown ,Bernard Neeson ,Natasha Richardson ,2,Ireland 
62,Morgan freeman ,Actor,1937-present(81 age),Mayme edna revere ,Morgan porterfield freeman ,Myrna colley lee ,4,US
63,Hugh jackman ,Actor,1968-present (50 age ),Grace mcneil ,Christopher john jackman ,Deborra-lee furness  ,2,Australia 
64,Jennifer Lawrence ,Actress ,1990-present(28 age ),Karen Lawrence ,Gary Lawrence ,Na,Na,Kentucky 
65,Angelina jolie ,Actress ,1975-present (43 age),Marcheline bertrand ,Jon voight ,Brad pitt,6,California 
66,Chris hems worth  ,Actor,1983-present (35 age ),Leonie  hemsworth,Craig hemsworth ,Elsa pataky ,3,Australia 
67,Jennifer aniston ,Actress ,1969-present (49n age),Nancy dow ,John aniston ,Justin theroux ,Na,California 
68,Natalie portman ,Actress ,1981-present(37 age),Shelley stevans ,Avner hershlang ,Benjamin millepied ,2,Jerusalem 
69,Emma stone ,Actress ,1988-present (30 age),Krista stone ,Jeff stone ,Na,Na,California 
70,Megan fox ,Actress ,1986-present (32 age),Gloria darlene fox,Franklin Thomas fox ,Brian Austin green,3,US
71,Scarlett Johansson ,Actress ,1984-present(34 age),Melanie sloan ,Karsten Johansson ,Romain dauriac,1,New York 
72,Gal gadot,Actress ,1985-present (33 age),Irit gadot,Michael gadot ,Yaron varsano ,2,Israel 
73,Alexandra daddario ,Actress ,1986-present (32 age),Christina daddario ,Richard daddario ,Na,Na,New York 
