ID,POLITICAL PARTY,POSITION,ALMA MATER ,PRECEDED BY,KNOWN FOR ,CAUSE OF DEATH ,NATIONALITY ,AWARD 
87,Indian national congress ,President of Indian national congress ,University of London ,Na,"Indian independence movement , peace movement, civil resistance , Gandhism  ",Assassination ,Indian ,Na
88,Bhartiya janta party ,Prime minister of India ,University of Delhi ,Manmohan singh ,Na,Na,Indian ,Na
89,Indian national congress ,President of Indian national congress ,"Harvard university , Rollins college, trinity college, cambridge  ",Sonia gandhi ,Na,Na,Indian ,Na
90,Indian national congress ,3rd prime minister of India ,University of Oxford ,Charan singh ,Na,Assassination ,Indian ,Bharat Ratna (1971)
91,Indian national congress ,"Chair of united progressive alliance , president of Indian national congress ",Bell education trust ,"Office established ,Sitaram kesri ",Na,Na,"Italy ,Indian (present)",Na
92,Rashtriya janta dal,Minister of railways ,Patna university ,Nitish kumar ,Na,Na,Indian ,Na
93,Bhartiya janta party ,Chairperson of national democratic alliance,Gujarat university ,Lal krishna advani ,Na,Na,Indian ,Na
94,Aam Aadmi party ,7th chief minister of Delhi ,IIT kharagpur ,Presidents rule ,Na,Na,Indian ,Na
95,Indian national congress ,6th prime minister of India ,"Trinity college, cambridge , imperial college, London ",Indira Gandhi ,Na,Assassination ,Indian ,Bharat Ratna (1991)
96,Bhartiya janta party ,"Finance minister, member of parliament , Rajya Sabha ",University of Delhi ,"Piyush Goyal , naresh Agarwal ",Na,Na,Indian ,Na
97,All india trinamool congress ,8th chief minister of west bengal ,University of Calcutta ,Buddhadeb Bhattacharjee ,Na,Na,Indian ,Na
98,Indian national congress ,13th prime minister of India ,"Punjab university, Chandigarh ",Atal Bihari Vajpayee ,Na,Na,Indian ,Na
99,Scheduled castes federation ,1st minister of law and justice ,"University of Mumbai, Columbia university ",Position established,"Dalit rights movement, constitution of India , Dalit buddhist movement ",Na,Indian ,Bharat Ratna (1990)
100,Indian national congress ,"Head and government of the provisional government of free India, president of Indian national congress ",University of Calcutta ,office created ,Indian nationalism ,Na,Indian ,Na
101,Na,11th prime minister of India ,Madras institute of technology ,K.R Narayanan ,Wings of fire ,Na,Indian ,"Bharat Ratna (1997), hoover medal(2009), NSS von braun award (2013)"
102,Na,Hindustan republican association ,Na,Na,Indian independence movement,Suicide ,Indian ,Na
103,Indian national congress ,1st prime minister of India ,"Trinity college, cambridge , inns of court ",Position established,Na,Hearth attack ,Indian ,Bharat Ratna (1955)
104,Indian national congress ,2nd prime minister India ,Gandhi Kashi vidyapeeth ,Gulzarilal nanda ,Na,Hearth attack ,Indian ,Bharat Ratna (1966)
105,Bhartiya janta party ,10th prime minister of India ,"Maharani Laxmi bai government college , Kanpur ",I.K. gujral ,Na,Hearth attack ,Indian ,"Bharat Ratna (2015), padma Vibhushan (1992)"
106,Nationalist congress party ,"MP of Rajya Sabha for Maharashtra , CM of Maharashtra ",Brihan Maharashtra ,Vasantdada Patil ,Na,Na,Indian ,Na
107,Janata dal ,22nd chief minister of Bihar ,"National institute of technology ,patna ",Himself ,Na,Na,Indian ,Na
108,Indian national congress ,13th president of India ,University of Calcutta ,Pratibha Patil ,Na,Na,Indian ,Na
109,Bhartiya janta party ,7th deputy prime minister of India ,University of Mumbai ,Chaudhary devi Lal ,Na,Na,Indian ,Padma Vibhushan 
110,Indian national congress ,1st deputy prime minister of India ,Inns of court ,Position established,Na,Hearth attack ,Indian ,Bharat Ratna (1991)
111,Republican ,45th president of united states ,The Wharton school ,Barack Obama ,Na,Na,American ,Na
112,Democratic ,44th president of united states ,"Occidental college , harvard university ",George W. Bush ,Na,Na,American ,"Nobel peace prize(2009), profile in courage (2017)"
113,Democratic ,42th president of united states ,"Georgetown university, Yale school ",George H.  W. Bush ,Na,Na,American ,Presidential medal of freedom
114,Republican ,41th president of united states ,Yale university ,Ronald Reagan ,Na,Na,American ,Na
115,Democratic ,67th secretary of united states ,Yale university ,Condoleezza rice ,Na,Na,American ,Na
116,Democratic ,35th president of united states ,Na,Dwight D. Eisenhower ,Na,Assassination ,American ,Na
117,Democratic and republican ,3rd president of united states ,William &marry ,John Adams ,Na,Assassination ,American ,Na
118,None ,1st president of united states ,Na,Office established ,Na,Epiglottitis shock ,American ,Congressional gold medal 
119,Republican ,16th president of united states ,Na,James buchanan ,Na,Assassination ,American ,Na
